ID,User ID,Action,Level,Details,IP Address,User-Agent,"Created at
20,10,LOGIN_SUCCESS,INFO,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0","2026-08-10 12:08:40"
19,33,LOGIN_SUCCESS,INFO,,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-27 10:39:17"
18,33,LOGIN_WRONG_PASSWORD,WARNING,"{""attempt_number"":1}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-27 10:39:07"
17,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-27 09:39:31"
16,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-27 09:39:25"
15,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 13:03:49"
14,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 13:01:28"
13,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:59:41"
12,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:57:30"
11,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:56:52"
10,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:56:00"
9,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:55:40"
8,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:53:48"
7,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:53:03"
6,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:51:38"
5,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:51:05"
4,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:48:48"
3,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:48:19"
2,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:32:03"
1,,CSRF_MISMATCH,SECURITY,"{""page"":""login""}",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","2026-07-25 12:31:33"
